Thread ID,Comment Link,Floor Number,Username,Timestamp,Trade,Review,Q&A,Self-Promotion,Content,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,31,12kb,"07-27-2012, 03:11 PM",1,0,0,0,Can I get the list please? Thanks in advance.,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,32,Chance Acid Rapper,"07-27-2012, 04:09 PM - Last modified 07-27-2012, 04:10 PM",1,0,0,0,"Hey can I get this? Thanks in advance, Pming you :) your pm thing is full :c",,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,33,Himalaya75013,"07-27-2012, 04:14 PM",1,0,0,0,Can you PM me the link bro' please ? Thanks in advance !,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,34,II iiNTeRuPT II,"07-27-2012, 06:11 PM",1,0,0,0,Can you send this to me please? I would really appreciate it.,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,35,dannybond,"07-27-2012, 07:22 PM",1,0,0,0,Can you hook me up with the list mate? Thanks in advance.,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,36,Chance Acid Rapper,"07-27-2012, 07:59 PM",1,0,0,0,"Your pm box is full, please delete some I want these :/",,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,37,Piohneer,"07-27-2012, 08:12 PM",1,0,0,0,"Can I get this I would love to get this , thanks in advance.",,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,38,SunnyDeeBoy,"07-27-2012, 09:36 PM",1,0,0,0,Your pm box is full. I want to buy Gwek please!,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,39,Eternal Minds,"07-27-2012, 10:26 PM",1,0,0,0,Would love to have this! Thanks OP! :),,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,40,akon11,"07-27-2012, 10:30 PM",1,0,0,0,send me the link.Thanks a lot in advance.,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,41,Grey 59,"07-28-2012, 04:20 AM",1,0,0,0,PM Box Cleared.. Any Other Takers? xD,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,42,padda22,"07-28-2012, 04:24 AM",1,0,0,0,I'm about to PM you! Thanks in advance!,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,43,Chance Acid Rapper,"07-28-2012, 04:25 AM",0,+,0,0,thanks bro legit guy! sorry you got scammed :(,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,44,hackss,"07-28-2012, 04:38 AM",1,0,0,0,send me the link i Pmed you thx a lot,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=3,45,cytonwider,"07-28-2012, 04:48 AM",1,0,0,0,Nice share =) Could i please get the shells? Thanks in advanced,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,16,Resilience,"07-27-2012, 07:51 AM",1,0,0,0,I will PM you right now thank you for sharring :),,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,17,kenga,"07-27-2012, 08:10 AM",1,0,0,0,Could i have this ? thanks in advance,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,18,EMPIRERAIDER,"07-27-2012, 08:13 AM",1,0,0,0,Please can i have it thanks in advance EMPIRERAIDER This guy is a legit i got it in no more than 5 minutes also this is safe thanks,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,19,ï¿__ï¿_ï¿_ï¿_ï¿_Dunsparth,"07-27-2012, 09:13 AM",1,0,0,0,"My pm has been sent, please send me these shells thanks.",,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,20,Quality_k1nG,"07-27-2012, 09:16 AM",1,0,0,0,Hi can i have this please thank bro:),,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,21,Thepain7x,"07-27-2012, 09:27 AM",1,0,0,0,"Would love to get this, I will pm you now. Thanks in advance!",,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,22,kANNEY,"07-27-2012, 10:53 AM",1,0,0,0,pming you send me please the shells (:,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,23,jijbentniks,"07-27-2012, 10:58 AM",1,0,0,0,"Hey man, great giveaway, I could use these for my public booter! Pming you now.",,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,24,radexito,"07-27-2012, 11:14 AM",1,0,0,0,"i need some, i will take this :) thanks",,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,25,p3rso,"07-27-2012, 12:00 PM",1,0,0,0,can I have this and thanks bro for sharing,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,26,Fredo In The Cut,"07-27-2012, 12:21 PM",1,0,0,0,I would love this going to pm you right now.,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,27,kingmalibu,"07-27-2012, 12:22 PM",1,0,0,0,"send me the link, please. Thanks a lot in advance.",,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,28,Abdul-Rehman123,"07-27-2012, 01:36 PM",1,0,0,0,send me the link.Thanks a lot in advance.,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,29,maybe,"07-27-2012, 02:13 PM",1,0,0,0,i'd love to have those shells!!! Thanx in advance guy!,,,,,
0,https://hackforums.net/showthread.php?tid=2717073&page=2,30,12345xmen,"07-27-2012, 02:52 PM",1,0,0,0,send me the link.Thanks a lot in advance.,,,,,
0,https://hackforums.net/showthread.php?tid=2717073,1,Grey 59,"07-27-2012, 05:08 AM - Last modified 06-25-2013, 06:02 PM",0,0,0,Self-Promotion,I'm giving away my old list of shells since I have bought Private shells :P How To Get This: Post Here Pm Me Happy DDoSing! [img]http://img855.imageshack.us/img855/782/hfshells.jpg[/img],,,,,
0,https://hackforums.net/showthread.php?tid=2717073,2,Cubs,"07-27-2012, 05:34 AM",1,0,0,0,Can I have this? Thanks in advance!,,,,,
0,https://hackforums.net/showthread.php?tid=2717073,3,Hitler,"07-27-2012, 05:37 AM",1,0,0,0,"I will PM you about this, Thank you OP.",,,,,
0,https://hackforums.net/showthread.php?tid=2717073,4,Grey 59,"07-27-2012, 05:59 AM",1,0,0,0,"(07-27-2012, 05:37 AM)Hitler Wrote: I will PM you about this, Thank you OP. Sent :D Still Giving These Away, People!",,,,,
0,https://hackforums.net/showthread.php?tid=2717073,5,Hitler,"07-27-2012, 06:05 AM",0,+,0,0,"Thanks OP, vouch he's very legit. Sent me them within 5-10 minutes.",,,,,
0,https://hackforums.net/showthread.php?tid=2717073,6,hakop,"07-27-2012, 06:08 AM - Last modified 07-27-2012, 06:20 AM",1,0,0,0,"Pming you now, Thanks in advance. EDIT: 185 active shells.",,,,,
0,https://hackforums.net/showthread.php?tid=2717073,7,Mr. Christmas,"07-27-2012, 06:11 AM - Last modified 07-27-2012, 06:25 AM",1,0,0,0,I'm about to PM you! Thanks in advance! This guy is legit. He sent it to me in less than 5 minutes. I vouch,,,,,
0,https://hackforums.net/showthread.php?tid=2717073,8,Grey 59,"07-27-2012, 06:46 AM",0,0,0,Self-Promotion,This is down for now.. Internet went out -_- will be up soon!,,,,,
0,https://hackforums.net/showthread.php?tid=2717073,9,Pick,"07-27-2012, 06:47 AM",1,0,0,0,Please can I have this!?? Your awesome~,,,,,
0,https://hackforums.net/showthread.php?tid=2717073,10,ven0m,"07-27-2012, 06:50 AM",1,0,0,0,send me the link.Thanks a lot in advance.,,,,,
