Thread ID,Thread Link,Market,Vendor Name,Product/Service Name,Replies,Views,Category,Price,Unit,Payment Method
0,https://hackforums.net/showthread.php?tid=2717073,HackForums,Grey 59,[Closed] | Free Shells List | 1000+ | [Closed],378,7134,crimeware,0,Per Service,?
1,https://hackforums.net/showthread.php?tid=3925243,HackForums,NastyCookie,..::Di BoTNet v2.0::..::PHP::..::Russian Botnet::..,252,25083,crimeware,?,Per Service,?
2,https://hackforums.net/showthread.php?tid=1667426,HackForums,BiH,Free HUGE! IRC bots SourceCode's Pack!!,260,5698,crimeware,0,Per Service,?
3,https://hackforums.net/showthread.php?tid=2607258,HackForums,jijbentniks,Free booter,234,MANUAL,crimeware,0,Per Service,?
4,https://hackforums.net/showthread.php?tid=130024,HackForums,sonabe,"2 cent each fresh bots, free crypting your files",344,2470,crimeware,$0.02 ,Per bot,?
5,https://hackforums.net/showthread.php?tid=5022902,HackForums,excr4sh,[FREE]Gaudox HTTP Bot (1.1.0.1) | C++/ASM | Ring3 Rootkit | Watchdog | Antis | Stable,322,39918,crimeware,0,Per Service,?
6,https://hackforums.net/showthread.php?tid=1584993,HackForums,notime993,[selling] johnx booter [SELL],548,2608,crimeware,$1 ,For Booter,?
7,https://hackforums.net/showthread.php?tid=390939,HackForums,ShikTik,[Odin Bot] |- UnderConstruction - | FUD Bin Is 32kb -| Dev'd In C++,245,2952,crimeware,0,For Bot,?
8,https://hackforums.net/showthread.php?tid=268910,HackForums,xvisceral,[Release] xvisceral Mini [bot collector],217,2335,crimeware,0,For Bot Collector,?
9,https://hackforums.net/showthread.php?tid=354407,HackForums,RooR ToKe,[HOT] [NEW] [CLEAN] WarBot Leaker Fully Cracked [CLEAN] [NEW] [HOT],309,7629,crimeware,0,For Bot,?
10,https://hackforums.net/showthread.php?tid=4369586,HackForums,Zinedine Zidane,REBEL BOTNET v1 | DDOS | DL & EXE | STUB 5/60 | USB SPREAD | STOP ATTACK [VB.NET],412,44363,crimeware,0,For Bot,?
11,https://hackforums.net/showthread.php?tid=680811,HackForums,jackman,"""Loader"" a http bot - Efficient - No dependencies - Unicode support - Small binary",217,MANUAL,crimeware,<$100,For Bot,?
